label,message
ham,"Salut comment ça va ?"
ham,"Je passerai te voir cet après-midi"
ham,"N'oublie pas notre réunion demain"
ham,"Peux-tu m'envoyer le rapport stp ?"
ham,"Merci pour ton aide"
spam,"Gagne 1000000 Ar en appelant ce numéro"
spam,"Clique ici pour recevoir ton cadeau gratuit"
spam,"Félicitations ! Vous avez gagné une voiture"
spam,"Offre exceptionnelle, cliquez pour profiter"
spam,"Votre compte a été piraté, envoyez vos informations"
ham,"Je suis en retard, j'arrive dans 10 minutes"
ham,"On se retrouve au café à 15h ?"
ham,"As-tu reçu mon email ?"
spam,"Promotion exclusive ce week-end seulement"
spam,"Cliquez ici pour doubler vos crédits"
ham,"Rendez-vous confirmé pour demain"
spam,"Gagne un iPhone en 2 minutes"
ham,"Peux-tu me rappeler plus tard ?"
spam,"Offre spéciale pour vous, ne ratez pas"
ham,"Merci beaucoup pour ton message"
ham,"Salama, manao ahoana ianao?"
ham,"Azafady mba alefaso amiko ny tatitra"
ham,"Mbola tonga ny fivoriana rahampitso"
ham,"Misaotra betsaka tamin'ny fanampiana"
spam,"Mahazoa vola 1000000 Ar amin'ny antso ity laharana ity"
spam,"                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
spam,"Faly izahay manambara fa nandresy fiara ianao"
spam,"Tolotra manokana, tsindrio izao mba hahazoana tombony"
ham,"Hihaona any amin'ny kafe amin'ny 15 ora?"
ham,"Azonao ve ny mailaka nalefako?"
spam,"Ampidiro ny mombamomba anao izao mba hahazoana valisoa"
ham,"Hello, how are you doing today?"
ham,"Please send me the report by tomorrow"
ham,"Are we still meeting at 3pm?"
ham,"Thanks a lot for your help"
spam,"You have won $1000! Click here to claim"
spam,"Congratulations! You have been selected for a free gift"
spam,"Earn money fast, join now!"
spam,"Limited offer! Click to get your reward"
ham,"Can you call me later?"
ham,"Don't forget our appointment"
spam,"Your account has been compromised, send your info now"
spam,"Win an iPhone today by clicking this link"
ham,"See you at the coffee shop at 5pm"
ham,"Did you get my email?"
